station_id,station_name,station_type,station_sequence_order,full_date,year,month,month_name,is_weekend,n_operations,avg_actual_cycle_time,avg_standard_cycle_time,avg_variance_minutes,total_downtime_minutes,n_downtime_events
1,Welding - Station 01,Welding,1,2024-09-03,2024,9,September,0,96,23.84,23.8,0.04,54.2,2
1,Welding - Station 01,Welding,1,2024-09-04,2024,9,September,0,92,23.45,23.8,-0.35,128.1,5
1,Welding - Station 01,Welding,1,2024-09-05,2024,9,September,0,85,23.38,23.8,-0.42,27.8,1
1,Welding - Station 01,Welding,1,2024-09-06,2024,9,September,0,77,23.15,23.8,-0.65,61.5,3
1,Welding - Station 01,Welding,1,2024-09-07,2024,9,September,1,31,23.78,23.8,-0.02,19.2,1
1,Welding - Station 01,Welding,1,2024-09-08,2024,9,September,1,28,23.2,23.8,-0.6,7.3,1
1,Welding - Station 01,Welding,1,2024-09-09,2024,9,September,0,66,23.83,23.8,0.03,76.4,3
1,Welding - Station 01,Welding,1,2024-09-10,2024,9,September,0,103,23.89,23.8,0.09,151.0,5
1,Welding - Station 01,Welding,1,2024-09-11,2024,9,September,0,53,24.01,23.8,0.21,33.3,1
1,Welding - Station 01,Welding,1,2024-09-12,2024,9,September,0,106,23.85,23.8,0.05,40.7,1
1,Welding - Station 01,Welding,1,2024-09-13,2024,9,September,0,90,24.17,23.8,0.37,121.0,5
1,Welding - Station 01,Welding,1,2024-09-14,2024,9,September,1,32,24.44,23.8,0.64,43.6,2
1,Welding - Station 01,Welding,1,2024-09-15,2024,9,September,1,28,24.45,23.8,0.65,81.0,3
1,Welding - Station 01,Welding,1,2024-09-16,2024,9,September,0,70,23.72,23.8,-0.08,99.9,5
1,Welding - Station 01,Welding,1,2024-09-17,2024,9,September,0,109,24.0,23.8,0.2,81.9,5
1,Welding - Station 01,Welding,1,2024-09-18,2024,9,September,0,88,24.09,23.8,0.29,204.8,7
1,Welding - Station 01,Welding,1,2024-09-19,2024,9,September,0,96,23.76,23.8,-0.04,181.5,5
1,Welding - Station 01,Welding,1,2024-09-20,2024,9,September,0,94,23.97,23.8,0.17,15.1,1
1,Welding - Station 01,Welding,1,2024-09-21,2024,9,September,1,30,23.72,23.8,-0.08,15.0,1
1,Welding - Station 01,Welding,1,2024-09-22,2024,9,September,1,29,23.79,23.8,-0.01,30.1,1
1,Welding - Station 01,Welding,1,2024-09-23,2024,9,September,0,63,24.29,23.8,0.49,58.7,3
1,Welding - Station 01,Welding,1,2024-09-24,2024,9,September,0,54,23.99,23.8,0.19,34.9,2
1,Welding - Station 01,Welding,1,2024-09-25,2024,9,September,0,79,23.26,23.8,-0.54,80.0,3
1,Welding - Station 01,Welding,1,2024-09-26,2024,9,September,0,81,23.44,23.8,-0.36,70.7,3
1,Welding - Station 01,Welding,1,2024-09-27,2024,9,September,0,92,23.05,23.8,-0.75,127.3,4
1,Welding - Station 01,Welding,1,2024-09-28,2024,9,September,1,27,24.16,23.8,0.36,0.0,0
1,Welding - Station 01,Welding,1,2024-09-29,2024,9,September,1,29,24.51,23.8,0.71,47.0,2
1,Welding - Station 01,Welding,1,2024-09-30,2024,9,September,0,94,23.42,23.8,-0.38,71.2,3
1,Welding - Station 01,Welding,1,2024-10-01,2024,10,October,0,96,23.53,23.8,-0.27,47.2,3
1,Welding - Station 01,Welding,1,2024-10-02,2024,10,October,0,89,23.79,23.8,-0.01,122.8,7
1,Welding - Station 01,Welding,1,2024-10-03,2024,10,October,0,57,24.43,23.8,0.63,17.2,2
1,Welding - Station 01,Welding,1,2024-10-04,2024,10,October,0,103,24.0,23.8,0.2,173.1,5
1,Welding - Station 01,Welding,1,2024-10-05,2024,10,October,1,36,22.2,23.8,-1.6,0.0,0
1,Welding - Station 01,Welding,1,2024-10-06,2024,10,October,1,30,24.17,23.8,0.37,44.4,1
1,Welding - Station 01,Welding,1,2024-10-07,2024,10,October,0,92,23.99,23.8,0.19,47.8,2
1,Welding - Station 01,Welding,1,2024-10-08,2024,10,October,0,101,24.2,23.8,0.4,209.0,6
1,Welding - Station 01,Welding,1,2024-10-09,2024,10,October,0,110,23.09,23.8,-0.71,13.3,1
1,Welding - Station 01,Welding,1,2024-10-10,2024,10,October,0,97,23.97,23.8,0.17,73.3,2
1,Welding - Station 01,Welding,1,2024-10-11,2024,10,October,0,86,23.58,23.8,-0.22,33.3,1
1,Welding - Station 01,Welding,1,2024-10-12,2024,10,October,1,36,23.53,23.8,-0.27,16.0,1
1,Welding - Station 01,Welding,1,2024-10-13,2024,10,October,1,27,24.51,23.8,0.71,0.0,0
1,Welding - Station 01,Welding,1,2024-10-14,2024,10,October,0,108,23.72,23.8,-0.08,116.0,5
1,Welding - Station 01,Welding,1,2024-10-15,2024,10,October,0,95,24.55,23.8,0.75,131.1,5
1,Welding - Station 01,Welding,1,2024-10-16,2024,10,October,0,106,23.67,23.8,-0.13,69.2,3
1,Welding - Station 01,Welding,1,2024-10-17,2024,10,October,0,116,23.83,23.8,0.03,70.8,4
1,Welding - Station 01,Welding,1,2024-10-18,2024,10,October,0,73,23.35,23.8,-0.45,0.0,0
1,Welding - Station 01,Welding,1,2024-10-19,2024,10,October,1,31,24.72,23.8,0.92,0.0,0
1,Welding - Station 01,Welding,1,2024-10-20,2024,10,October,1,29,25.05,23.8,1.25,56.0,2
1,Welding - Station 01,Welding,1,2024-10-21,2024,10,October,0,72,23.2,23.8,-0.6,36.6,2
1,Welding - Station 01,Welding,1,2024-10-22,2024,10,October,0,84,23.55,23.8,-0.25,49.3,2
1,Welding - Station 01,Welding,1,2024-10-23,2024,10,October,0,91,23.8,23.8,0.0,105.3,3
1,Welding - Station 01,Welding,1,2024-10-24,2024,10,October,0,99,22.78,23.8,-1.02,154.6,6
1,Welding - Station 01,Welding,1,2024-10-25,2024,10,October,0,91,23.77,23.8,-0.03,35.0,1
1,Welding - Station 01,Welding,1,2024-10-26,2024,10,October,1,33,23.4,23.8,-0.4,96.5,4
1,Welding - Station 01,Welding,1,2024-10-27,2024,10,October,1,28,23.88,23.8,0.08,0.0,0
1,Welding - Station 01,Welding,1,2024-10-28,2024,10,October,0,97,23.43,23.8,-0.37,90.2,3
1,Welding - Station 01,Welding,1,2024-10-29,2024,10,October,0,84,24.43,23.8,0.63,179.9,6
1,Welding - Station 01,Welding,1,2024-10-30,2024,10,October,0,83,24.84,23.8,1.04,130.5,5
1,Welding - Station 01,Welding,1,2024-10-31,2024,10,October,0,95,24.08,23.8,0.28,113.9,5
1,Welding - Station 01,Welding,1,2024-11-01,2024,11,November,0,82,24.09,23.8,0.29,78.6,3
1,Welding - Station 01,Welding,1,2024-11-02,2024,11,November,1,32,23.21,23.8,-0.59,8.4,1
1,Welding - Station 01,Welding,1,2024-11-03,2024,11,November,1,29,23.74,23.8,-0.06,20.6,2
1,Welding - Station 01,Welding,1,2024-11-04,2024,11,November,0,82,23.56,23.8,-0.24,144.3,7
1,Welding - Station 01,Welding,1,2024-11-05,2024,11,November,0,94,23.82,23.8,0.02,109.2,5
1,Welding - Station 01,Welding,1,2024-11-06,2024,11,November,0,104,24.18,23.8,0.38,133.2,6
1,Welding - Station 01,Welding,1,2024-11-07,2024,11,November,0,85,24.76,23.8,0.96,92.4,3
1,Welding - Station 01,Welding,1,2024-11-08,2024,11,November,0,82,24.69,23.8,0.89,91.5,3
1,Welding - Station 01,Welding,1,2024-11-09,2024,11,November,1,28,23.94,23.8,0.14,76.6,2
1,Welding - Station 01,Welding,1,2024-11-10,2024,11,November,1,36,24.75,23.8,0.95,93.5,3
1,Welding - Station 01,Welding,1,2024-11-11,2024,11,November,0,75,23.51,23.8,-0.29,187.2,5
1,Welding - Station 01,Welding,1,2024-11-12,2024,11,November,0,89,23.59,23.8,-0.21,179.1,7
1,Welding - Station 01,Welding,1,2024-11-13,2024,11,November,0,94,24.24,23.8,0.44,117.7,5
1,Welding - Station 01,Welding,1,2024-11-14,2024,11,November,0,73,24.07,23.8,0.27,195.6,7
1,Welding - Station 01,Welding,1,2024-11-15,2024,11,November,0,73,23.9,23.8,0.1,31.9,2
1,Welding - Station 01,Welding,1,2024-11-16,2024,11,November,1,27,23.97,23.8,0.17,39.8,1
1,Welding - Station 01,Welding,1,2024-11-17,2024,11,November,1,33,23.34,23.8,-0.46,74.3,2
1,Welding - Station 01,Welding,1,2024-11-18,2024,11,November,0,81,23.93,23.8,0.13,118.7,5
1,Welding - Station 01,Welding,1,2024-11-19,2024,11,November,0,77,23.65,23.8,-0.15,42.5,1
1,Welding - Station 01,Welding,1,2024-11-20,2024,11,November,0,82,23.97,23.8,0.17,123.5,5
1,Welding - Station 01,Welding,1,2024-11-21,2024,11,November,0,90,23.97,23.8,0.17,12.7,1
1,Welding - Station 01,Welding,1,2024-11-22,2024,11,November,0,93,23.77,23.8,-0.03,91.0,4
1,Welding - Station 01,Welding,1,2024-11-23,2024,11,November,1,31,24.21,23.8,0.41,20.6,1
1,Welding - Station 01,Welding,1,2024-11-24,2024,11,November,1,31,23.06,23.8,-0.74,44.6,1
1,Welding - Station 01,Welding,1,2024-11-25,2024,11,November,0,101,23.87,23.8,0.07,125.7,4
1,Welding - Station 01,Welding,1,2024-11-26,2024,11,November,0,83,23.82,23.8,0.02,8.9,1
1,Welding - Station 01,Welding,1,2024-11-27,2024,11,November,0,88,24.38,23.8,0.58,73.2,2
1,Welding - Station 01,Welding,1,2024-11-28,2024,11,November,0,97,22.94,23.8,-0.86,159.0,7
1,Welding - Station 01,Welding,1,2024-11-29,2024,11,November,0,90,23.95,23.8,0.15,66.0,4
1,Welding - Station 01,Welding,1,2024-11-30,2024,11,November,1,33,25.17,23.8,1.37,46.0,2
1,Welding - Station 01,Welding,1,2024-12-01,2024,12,December,1,28,22.24,23.8,-1.56,0.0,0
1,Welding - Station 01,Welding,1,2024-12-02,2024,12,December,0,57,23.39,23.8,-0.41,69.6,3
1,Welding - Station 01,Welding,1,2024-12-03,2024,12,December,0,81,25.03,23.8,1.23,190.6,8
1,Welding - Station 01,Welding,1,2024-12-04,2024,12,December,0,75,24.43,23.8,0.63,141.2,4
1,Welding - Station 01,Welding,1,2024-12-05,2024,12,December,0,58,23.32,23.8,-0.48,83.2,3
1,Welding - Station 01,Welding,1,2024-12-06,2024,12,December,0,61,24.11,23.8,0.31,77.0,4
1,Welding - Station 01,Welding,1,2024-12-07,2024,12,December,1,31,23.18,23.8,-0.62,40.3,1
1,Welding - Station 01,Welding,1,2024-12-08,2024,12,December,1,29,24.65,23.8,0.85,0.0,0
1,Welding - Station 01,Welding,1,2024-12-09,2024,12,December,0,79,23.84,23.8,0.04,58.6,2
1,Welding - Station 01,Welding,1,2024-12-10,2024,12,December,0,75,24.24,23.8,0.44,34.5,3
1,Welding - Station 01,Welding,1,2024-12-11,2024,12,December,0,57,23.97,23.8,0.17,24.7,1
1,Welding - Station 01,Welding,1,2024-12-12,2024,12,December,0,79,23.58,23.8,-0.22,145.3,5
1,Welding - Station 01,Welding,1,2024-12-13,2024,12,December,0,90,24.45,23.8,0.65,36.3,1
1,Welding - Station 01,Welding,1,2024-12-14,2024,12,December,1,28,24.87,23.8,1.07,61.5,2
1,Welding - Station 01,Welding,1,2024-12-15,2024,12,December,1,20,25.36,23.8,1.56,0.0,0
1,Welding - Station 01,Welding,1,2024-12-16,2024,12,December,0,82,23.66,23.8,-0.14,22.0,2
1,Welding - Station 01,Welding,1,2024-12-17,2024,12,December,0,63,23.75,23.8,-0.05,25.3,1
1,Welding - Station 01,Welding,1,2024-12-18,2024,12,December,0,73,24.48,23.8,0.68,144.9,6
1,Welding - Station 01,Welding,1,2024-12-19,2024,12,December,0,73,24.72,23.8,0.92,164.9,6
1,Welding - Station 01,Welding,1,2024-12-20,2024,12,December,0,96,24.22,23.8,0.42,216.3,7
1,Welding - Station 01,Welding,1,2024-12-21,2024,12,December,1,23,24.6,23.8,0.8,43.4,1
1,Welding - Station 01,Welding,1,2024-12-22,2024,12,December,1,23,24.74,23.8,0.94,14.2,1
1,Welding - Station 01,Welding,1,2024-12-23,2024,12,December,0,79,23.47,23.8,-0.33,128.0,5
1,Welding - Station 01,Welding,1,2024-12-24,2024,12,December,0,75,24.7,23.8,0.9,87.3,3
1,Welding - Station 01,Welding,1,2024-12-25,2024,12,December,0,52,24.07,23.8,0.27,48.6,2
1,Welding - Station 01,Welding,1,2024-12-26,2024,12,December,0,71,23.67,23.8,-0.13,65.9,2
1,Welding - Station 01,Welding,1,2024-12-27,2024,12,December,0,71,23.97,23.8,0.17,53.0,2
1,Welding - Station 01,Welding,1,2024-12-28,2024,12,December,1,18,25.49,23.8,1.69,12.8,1
1,Welding - Station 01,Welding,1,2024-12-29,2024,12,December,1,22,23.11,23.8,-0.7,18.4,1
1,Welding - Station 01,Welding,1,2024-12-30,2024,12,December,0,66,23.83,23.8,0.03,145.6,4
1,Welding - Station 01,Welding,1,2024-12-31,2024,12,December,0,87,24.04,23.8,0.24,92.8,5
1,Welding - Station 01,Welding,1,2025-01-01,2025,1,January,0,71,24.0,23.8,0.2,40.5,2
1,Welding - Station 01,Welding,1,2025-01-02,2025,1,January,0,70,23.16,23.8,-0.64,67.0,2
1,Welding - Station 01,Welding,1,2025-01-03,2025,1,January,0,86,23.65,23.8,-0.15,174.3,7
1,Welding - Station 01,Welding,1,2025-01-04,2025,1,January,1,30,24.86,23.8,1.06,122.0,3
1,Welding - Station 01,Welding,1,2025-01-05,2025,1,January,1,26,23.32,23.8,-0.49,24.9,1
1,Welding - Station 01,Welding,1,2025-01-06,2025,1,January,0,60,24.25,23.8,0.45,135.4,4
1,Welding - Station 01,Welding,1,2025-01-07,2025,1,January,0,67,23.5,23.8,-0.3,83.0,3
1,Welding - Station 01,Welding,1,2025-01-08,2025,1,January,0,74,23.96,23.8,0.16,56.7,2
1,Welding - Station 01,Welding,1,2025-01-09,2025,1,January,0,73,24.18,23.8,0.38,16.7,2
1,Welding - Station 01,Welding,1,2025-01-10,2025,1,January,0,75,23.93,23.8,0.13,110.2,4
1,Welding - Station 01,Welding,1,2025-01-11,2025,1,January,1,29,24.98,23.8,1.18,39.6,1
1,Welding - Station 01,Welding,1,2025-01-12,2025,1,January,1,28,23.0,23.8,-0.8,14.2,1
1,Welding - Station 01,Welding,1,2025-01-13,2025,1,January,0,81,23.86,23.8,0.06,42.6,2
1,Welding - Station 01,Welding,1,2025-01-14,2025,1,January,0,85,24.64,23.8,0.84,138.0,4
1,Welding - Station 01,Welding,1,2025-01-15,2025,1,January,0,75,24.35,23.8,0.55,131.3,5
1,Welding - Station 01,Welding,1,2025-01-16,2025,1,January,0,68,23.41,23.8,-0.39,41.7,1
1,Welding - Station 01,Welding,1,2025-01-17,2025,1,January,0,67,23.85,23.8,0.05,111.3,4
1,Welding - Station 01,Welding,1,2025-01-18,2025,1,January,1,28,24.18,23.8,0.38,0.0,0
1,Welding - Station 01,Welding,1,2025-01-19,2025,1,January,1,25,23.71,23.8,-0.09,0.0,0
1,Welding - Station 01,Welding,1,2025-01-20,2025,1,January,0,57,23.53,23.8,-0.27,34.1,3
1,Welding - Station 01,Welding,1,2025-01-21,2025,1,January,0,74,23.84,23.8,0.04,137.6,6
1,Welding - Station 01,Welding,1,2025-01-22,2025,1,January,0,78,23.35,23.8,-0.45,0.0,0
1,Welding - Station 01,Welding,1,2025-01-23,2025,1,January,0,73,23.39,23.8,-0.41,113.5,4
1,Welding - Station 01,Welding,1,2025-01-24,2025,1,January,0,97,24.08,23.8,0.28,139.2,6
1,Welding - Station 01,Welding,1,2025-01-25,2025,1,January,1,31,25.43,23.8,1.63,108.1,3
1,Welding - Station 01,Welding,1,2025-01-26,2025,1,January,1,30,23.58,23.8,-0.22,13.3,1
1,Welding - Station 01,Welding,1,2025-01-27,2025,1,January,0,82,24.17,23.8,0.37,126.9,4
1,Welding - Station 01,Welding,1,2025-01-28,2025,1,January,0,74,24.15,23.8,0.35,100.3,4
1,Welding - Station 01,Welding,1,2025-01-29,2025,1,January,0,79,23.95,23.8,0.15,217.9,7
1,Welding - Station 01,Welding,1,2025-01-30,2025,1,January,0,74,23.8,23.8,-0.0,142.2,6
1,Welding - Station 01,Welding,1,2025-01-31,2025,1,January,0,68,23.67,23.8,-0.13,109.1,5
1,Welding - Station 01,Welding,1,2025-02-01,2025,2,February,1,32,24.12,23.8,0.32,43.9,1
1,Welding - Station 01,Welding,1,2025-02-02,2025,2,February,1,29,24.65,23.8,0.85,49.9,2
1,Welding - Station 01,Welding,1,2025-02-03,2025,2,February,0,92,23.31,23.8,-0.49,44.5,3
1,Welding - Station 01,Welding,1,2025-02-04,2025,2,February,0,74,23.56,23.8,-0.24,12.3,1
1,Welding - Station 01,Welding,1,2025-02-05,2025,2,February,0,67,23.68,23.8,-0.12,41.5,2
1,Welding - Station 01,Welding,1,2025-02-06,2025,2,February,0,67,24.24,23.8,0.44,10.8,1
1,Welding - Station 01,Welding,1,2025-02-07,2025,2,February,0,73,24.01,23.8,0.21,119.0,4
1,Welding - Station 01,Welding,1,2025-02-08,2025,2,February,1,32,23.42,23.8,-0.38,88.4,4
1,Welding - Station 01,Welding,1,2025-02-09,2025,2,February,1,26,24.12,23.8,0.32,9.9,1
1,Welding - Station 01,Welding,1,2025-02-10,2025,2,February,0,76,24.23,23.8,0.43,72.4,5
1,Welding - Station 01,Welding,1,2025-02-11,2025,2,February,0,83,23.58,23.8,-0.22,116.5,6
1,Welding - Station 01,Welding,1,2025-02-12,2025,2,February,0,69,23.52,23.8,-0.28,90.8,4
1,Welding - Station 01,Welding,1,2025-02-13,2025,2,February,0,85,23.39,23.8,-0.41,161.6,5
1,Welding - Station 01,Welding,1,2025-02-14,2025,2,February,0,83,23.57,23.8,-0.23,72.2,3
1,Welding - Station 01,Welding,1,2025-02-15,2025,2,February,1,28,24.24,23.8,0.44,49.3,2
1,Welding - Station 01,Welding,1,2025-02-16,2025,2,February,1,27,24.32,23.8,0.52,46.6,2
1,Welding - Station 01,Welding,1,2025-02-17,2025,2,February,0,67,24.29,23.8,0.49,54.4,2
1,Welding - Station 01,Welding,1,2025-02-18,2025,2,February,0,79,24.37,23.8,0.57,60.4,2
1,Welding - Station 01,Welding,1,2025-02-19,2025,2,February,0,64,23.48,23.8,-0.32,106.4,4
1,Welding - Station 01,Welding,1,2025-02-20,2025,2,February,0,83,23.72,23.8,-0.08,13.7,1
1,Welding - Station 01,Welding,1,2025-02-21,2025,2,February,0,76,23.53,23.8,-0.27,34.4,2
1,Welding - Station 01,Welding,1,2025-02-22,2025,2,February,1,29,24.7,23.8,0.9,143.0,4
1,Welding - Station 01,Welding,1,2025-02-23,2025,2,February,1,29,22.92,23.8,-0.88,70.7,2
1,Welding - Station 01,Welding,1,2025-02-24,2025,2,February,0,66,24.14,23.8,0.34,74.4,3
1,Welding - Station 01,Welding,1,2025-02-25,2025,2,February,0,72,23.76,23.8,-0.04,26.1,1
1,Welding - Station 01,Welding,1,2025-02-26,2025,2,February,0,76,23.26,23.8,-0.54,78.4,2
1,Welding - Station 01,Welding,1,2025-02-27,2025,2,February,0,77,23.26,23.8,-0.54,10.5,1
1,Welding - Station 01,Welding,1,2025-02-28,2025,2,February,0,56,23.37,23.8,-0.43,94.7,3
1,Welding - Station 01,Welding,1,2025-03-01,2025,3,March,1,35,24.52,23.8,0.72,10.4,1
1,Welding - Station 01,Welding,1,2025-03-02,2025,3,March,1,32,24.42,23.8,0.62,28.9,2
1,Welding - Station 01,Welding,1,2025-03-03,2025,3,March,0,111,23.07,23.8,-0.73,176.7,6
1,Welding - Station 01,Welding,1,2025-03-04,2025,3,March,0,90,23.83,23.8,0.03,135.2,5
1,Welding - Station 01,Welding,1,2025-03-05,2025,3,March,0,93,23.44,23.8,-0.36,70.7,3
1,Welding - Station 01,Welding,1,2025-03-06,2025,3,March,0,96,23.4,23.8,-0.4,141.2,6
1,Welding - Station 01,Welding,1,2025-03-07,2025,3,March,0,108,23.74,23.8,-0.06,231.8,7
1,Welding - Station 01,Welding,1,2025-03-08,2025,3,March,1,33,24.13,23.8,0.33,100.8,3
1,Welding - Station 01,Welding,1,2025-03-09,2025,3,March,1,33,24.92,23.8,1.12,0.0,0
1,Welding - Station 01,Welding,1,2025-03-10,2025,3,March,0,82,24.0,23.8,0.2,24.1,1
1,Welding - Station 01,Welding,1,2025-03-11,2025,3,March,0,85,23.73,23.8,-0.07,74.3,2
1,Welding - Station 01,Welding,1,2025-03-12,2025,3,March,0,92,23.64,23.8,-0.16,92.6,4
1,Welding - Station 01,Welding,1,2025-03-13,2025,3,March,0,91,23.75,23.8,-0.05,142.0,6
1,Welding - Station 01,Welding,1,2025-03-14,2025,3,March,0,109,24.29,23.8,0.49,195.3,8
1,Welding - Station 01,Welding,1,2025-03-15,2025,3,March,1,34,24.39,23.8,0.59,85.9,2
1,Welding - Station 01,Welding,1,2025-03-16,2025,3,March,1,31,23.95,23.8,0.15,28.1,1
1,Welding - Station 01,Welding,1,2025-03-17,2025,3,March,0,86,23.29,23.8,-0.51,104.6,3
1,Welding - Station 01,Welding,1,2025-03-18,2025,3,March,0,90,24.07,23.8,0.27,16.2,2
1,Welding - Station 01,Welding,1,2025-03-19,2025,3,March,0,92,23.97,23.8,0.17,70.6,3
1,Welding - Station 01,Welding,1,2025-03-20,2025,3,March,0,98,23.91,23.8,0.11,110.4,4
1,Welding - Station 01,Welding,1,2025-03-21,2025,3,March,0,93,24.18,23.8,0.38,133.1,5
1,Welding - Station 01,Welding,1,2025-03-22,2025,3,March,1,27,24.29,23.8,0.49,54.2,2
1,Welding - Station 01,Welding,1,2025-03-23,2025,3,March,1,29,23.44,23.8,-0.36,0.0,0
1,Welding - Station 01,Welding,1,2025-03-24,2025,3,March,0,91,23.99,23.8,0.19,77.9,2
1,Welding - Station 01,Welding,1,2025-03-25,2025,3,March,0,79,23.97,23.8,0.17,96.5,3
1,Welding - Station 01,Welding,1,2025-03-26,2025,3,March,0,80,24.08,23.8,0.27,59.3,3
1,Welding - Station 01,Welding,1,2025-03-27,2025,3,March,0,92,24.27,23.8,0.47,148.7,6
1,Welding - Station 01,Welding,1,2025-03-28,2025,3,March,0,88,23.84,23.8,0.04,68.5,3
1,Welding - Station 01,Welding,1,2025-03-29,2025,3,March,1,40,23.0,23.8,-0.8,101.6,4
1,Welding - Station 01,Welding,1,2025-03-30,2025,3,March,1,27,23.17,23.8,-0.63,44.6,1
1,Welding - Station 01,Welding,1,2025-03-31,2025,3,March,0,82,23.98,23.8,0.18,75.1,3
1,Welding - Station 01,Welding,1,2025-04-01,2025,4,April,0,87,24.25,23.8,0.45,116.1,5
1,Welding - Station 01,Welding,1,2025-04-02,2025,4,April,0,86,23.74,23.8,-0.06,43.1,1
1,Welding - Station 01,Welding,1,2025-04-03,2025,4,April,0,94,23.84,23.8,0.04,129.5,6
1,Welding - Station 01,Welding,1,2025-04-04,2025,4,April,0,95,23.83,23.8,0.03,114.7,5
1,Welding - Station 01,Welding,1,2025-04-05,2025,4,April,1,32,23.44,23.8,-0.36,31.5,1
1,Welding - Station 01,Welding,1,2025-04-06,2025,4,April,1,30,23.03,23.8,-0.77,25.3,1
1,Welding - Station 01,Welding,1,2025-04-07,2025,4,April,0,79,24.46,23.8,0.66,195.8,8
1,Welding - Station 01,Welding,1,2025-04-08,2025,4,April,0,104,24.41,23.8,0.61,238.5,10
1,Welding - Station 01,Welding,1,2025-04-09,2025,4,April,0,109,24.09,23.8,0.29,145.2,5
1,Welding - Station 01,Welding,1,2025-04-10,2025,4,April,0,91,23.32,23.8,-0.48,0.0,0
1,Welding - Station 01,Welding,1,2025-04-11,2025,4,April,0,69,24.25,23.8,0.45,288.3,11
1,Welding - Station 01,Welding,1,2025-04-12,2025,4,April,1,28,23.58,23.8,-0.22,35.3,1
1,Welding - Station 01,Welding,1,2025-04-13,2025,4,April,1,28,22.84,23.8,-0.96,62.8,3
1,Welding - Station 01,Welding,1,2025-04-14,2025,4,April,0,71,24.65,23.8,0.85,35.8,2
