unit_id,model_name,segment,engine_type,trim_name,color_name,color_type,upholstery_material,upholstery_color,shift_name,production_start_date,start_year,start_quarter,start_month,start_month_name,production_end_date,total_actual_labor_hours,total_actual_cycle_time_minutes,total_material_cost,total_labor_cost,total_rework_cost,total_cost,final_qc_status
JP-0000011,Jungle Lynx,Sedan,1.6L Diesel,Base,Ocean Blue,Metallic,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.341333333333335,396.58,10325.08,368.856,0.0,10693.94,Pass
JP-0000012,Jungle Lynx,Sedan,1.6L Diesel,Base,Ocean Blue,Metallic,Leather,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,5.779000000000001,346.74,10379.52,353.6570625,0.0,10733.18,Pass
JP-0000013,Jungle Tiger,SUV,2.0L Petrol,Base,Pearl Ivory,Pearl,Leather,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,5.861833333333335,371.31,9800.44,351.4540875,0.0,10151.89,Pass
JP-0000014,Jungle Tiger,SUV,2.0L Petrol,Base,Pearl Ivory,Pearl,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.131,394.86,9864.84,313.8836875,0.0,10178.72,Pass
JP-0000015,Jungle Tiger,SUV,2.0L Petrol,Comfort,Arctic White,Solid,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.065499999999999,392.33,10731.23,339.58065416666665,0.0,11070.81,Pass
JP-0000016,Jungle Tiger,SUV,2.0L Petrol,Comfort,Arctic White,Solid,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.052833333333334,363.17,10708.78,333.0860875,0.0,11041.87,Pass
JP-0000017,Jungle Tiger,SUV,2.0L Petrol,Comfort,Arctic White,Solid,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.049666666666667,362.98,10693.65,361.72395416666666,0.0,11055.37,Pass
JP-0000018,Jungle Owl,EV,Electric,Comfort,Arctic White,Solid,Leatherette,Grey,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.0085,360.51,11822.15,386.6199583333333,0.0,12208.77,Pass
JP-0000019,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Ocean Blue,Metallic,Fabric,Black,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.489166666666666,417.45,10549.5,326.07445,0.0,10875.57,Pass
JP-0000020,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Ocean Blue,Metallic,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.858500000000001,396.11,10481.86,314.76720416666666,0.0,10796.63,Pass
JP-0000021,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Ocean Blue,Metallic,Fabric,Black,Evening,2024-07-31,2024,3,7,July,2024-07-31,5.956,373.06,10442.18,339.5937208333333,0.0,10781.77,Pass
JP-0000022,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Ocean Blue,Metallic,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.985833333333333,359.15,10456.98,338.3878125,0.0,10795.37,Pass
JP-0000023,Jungle Owl,EV,Electric,Base,Copper Bronze,Pearl,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.017333333333334,385.64,10972.92,350.7056375,0.0,11323.63,Pass
JP-0000024,Jungle Owl,EV,Electric,Base,Copper Bronze,Pearl,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.974333333333333,358.46,11035.38,353.19407916666665,0.0,11388.57,Pass
JP-0000025,Jungle Owl,EV,Electric,Base,Copper Bronze,Pearl,Leather,Black,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.3853333333333335,420.52,11014.9,344.15531250000004,0.0,11359.06,Pass
JP-0000026,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Crimson Red,Metallic,Leather,Beige,Night,2024-07-31,2024,3,7,July,2024-07-31,5.821833333333333,349.31,10568.22,318.28655833333335,0.0,10886.51,Pass
JP-0000027,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Crimson Red,Metallic,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.959333333333333,367.26,10273.7,343.58428333333336,0.0,10617.28,Pass
JP-0000028,Jungle Owl,EV,Electric,Luxury,Forest Green,Metallic,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.0025,411.95,13133.98,337.2026125,0.0,13471.18,Pass
JP-0000029,Jungle Owl,EV,Electric,Luxury,Forest Green,Metallic,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.127,367.62,13224.42,368.3993541666667,0.0,13592.82,Pass
JP-0000030,Jungle Owl,EV,Electric,Luxury,Forest Green,Metallic,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.9783333333333335,400.2,13142.68,377.06922083333336,0.0,13519.75,Pass
JP-0000031,Jungle Owl,EV,Electric,Luxury,Forest Green,Metallic,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.187833333333334,388.97,13126.67,336.6173833333333,0.0,13463.29,Pass
JP-0000032,Jungle Lynx,Sedan,1.6L Diesel,Base,Forest Green,Metallic,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.015833333333335,360.95,10370.75,343.08857916666665,0.0,10713.84,Pass
JP-0000033,Jungle Lynx,Sedan,1.6L Diesel,Base,Forest Green,Metallic,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.3045,413.97,10344.44,366.8636583333333,0.0,10711.3,Pass
JP-0000034,Jungle Lynx,Sedan,1.6L Diesel,Base,Forest Green,Metallic,Leather,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,5.968999999999999,358.14,10407.45,332.46368333333334,0.0,10739.91,Pass
JP-0000035,Jungle Lynx,Sedan,1.6L Diesel,Base,Forest Green,Metallic,Leather,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,5.795833333333333,347.75,10396.5,302.5599625,0.0,10699.06,Pass
JP-0000036,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Midnight Black,Solid,Fabric,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,6.041333333333333,398.98,10611.8,352.99605833333334,0.0,10964.8,Pass
JP-0000037,Jungle Fennec,Hatchback,1.4L Petrol,Base,Crimson Red,Metallic,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.061166666666666,377.67,9921.65,317.6275166666667,0.0,10239.28,Pass
JP-0000038,Jungle Fennec,Hatchback,1.4L Petrol,Base,Crimson Red,Metallic,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.8405000000000005,368.13,9854.37,306.09717083333334,0.0,10160.47,Pass
JP-0000039,Jungle Fennec,Hatchback,1.4L Petrol,Base,Crimson Red,Metallic,Fabric,Black,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.067666666666667,381.06,9923.19,326.91645,0.0,10250.11,Pass
JP-0000040,Jungle Fennec,Hatchback,1.4L Petrol,Base,Crimson Red,Metallic,Fabric,Black,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.018,361.08,9868.44,371.2848666666667,0.0,10239.72,Pass
JP-0000041,Jungle Tiger,SUV,2.0L Petrol,Base,Copper Bronze,Pearl,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.273,376.38,9868.34,341.36420416666664,0.0,10209.7,Pass
JP-0000042,Jungle Tiger,SUV,2.0L Petrol,Comfort,Steel Grey,Metallic,Fabric,Black,Evening,2024-07-31,2024,3,7,July,2024-07-31,5.953666666666666,371.62,10678.78,312.41315833333334,4.98,10996.17,Rework
JP-0000043,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Copper Bronze,Pearl,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.881333333333333,365.98,10466.36,343.5985,0.0,10809.96,Pass
JP-0000044,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Copper Bronze,Pearl,Leather,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,5.848666666666667,380.72,10328.25,314.4729958333333,0.0,10642.72,Pass
JP-0000045,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Crimson Red,Metallic,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-08-01,6.339833333333333,486.29,10380.02,350.25419166666666,0.0,10730.27,Pass
JP-0000046,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Crimson Red,Metallic,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.145,388.5,10618.16,357.2350416666667,0.0,10975.4,Pass
JP-0000047,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Crimson Red,Metallic,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.170333333333332,370.22,10502.13,373.9184666666667,0.0,10876.05,Pass
JP-0000048,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Crimson Red,Metallic,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,5.91,354.6,10469.95,314.0715625,0.0,10784.02,Pass
JP-0000049,Jungle Tiger,SUV,2.0L Petrol,Base,Crimson Red,Metallic,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.117166666666667,381.53,9871.01,373.2584833333333,0.0,10244.27,Pass
JP-0000050,Jungle Tiger,SUV,2.0L Petrol,Base,Crimson Red,Metallic,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.203166666666666,384.09,9728.7,335.28510833333337,0.0,10063.99,Pass
JP-0000051,Jungle Tiger,SUV,2.0L Petrol,Base,Forest Green,Metallic,Leather,Beige,Night,2024-07-31,2024,3,7,July,2024-07-31,6.244333333333333,436.76,9785.99,296.37297083333334,0.0,10082.36,Pass
JP-0000052,Jungle Lynx,Sedan,1.6L Diesel,Base,Crimson Red,Metallic,Leather,Beige,Night,2024-07-31,2024,3,7,July,2024-07-31,6.1080000000000005,396.98,10402.22,324.5178041666667,0.0,10726.74,Pass
JP-0000053,Jungle Lynx,Sedan,1.6L Diesel,Base,Crimson Red,Metallic,Leather,Beige,Night,2024-07-31,2024,3,7,July,2024-07-31,6.107166666666667,391.83,10483.77,336.7531666666667,0.0,10820.52,Pass
JP-0000054,Jungle Lynx,Sedan,1.6L Diesel,Base,Crimson Red,Metallic,Leather,Beige,Night,2024-07-31,2024,3,7,July,2024-07-31,6.130499999999999,367.83,10457.66,332.07015416666667,0.0,10789.73,Pass
JP-0000055,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Ocean Blue,Metallic,Leatherette,Grey,Evening,2024-07-31,2024,3,7,July,2024-07-31,6.108666666666667,405.22,10827.69,331.7089875,0.0,11159.4,Pass
JP-0000056,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Ocean Blue,Metallic,Leatherette,Grey,Night,2024-07-31,2024,3,7,July,2024-07-31,6.468500000000001,399.61,10687.38,342.11084166666666,0.0,11029.49,Pass
JP-0000057,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Ocean Blue,Metallic,Leatherette,Grey,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.963499999999999,357.81,10709.18,345.47709166666664,0.0,11054.66,Pass
JP-0000058,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Ocean Blue,Metallic,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.952333333333333,368.54,10923.82,361.2892458333333,0.0,11285.11,Pass
JP-0000059,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Ocean Blue,Metallic,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.2301666666666655,373.81,10779.89,328.23465416666664,0.0,11108.12,Pass
JP-0000060,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Ocean Blue,Metallic,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.147166666666666,368.83,10818.72,324.34670416666665,0.0,11143.07,Pass
JP-0000061,Jungle Tiger,SUV,2.0L Petrol,Luxury,Midnight Black,Solid,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.576666666666667,413.8,11971.76,332.50324166666667,0.0,12304.26,Pass
JP-0000062,Jungle Tiger,SUV,2.0L Petrol,Luxury,Midnight Black,Solid,Fabric,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.8903333333333325,353.42,11955.42,334.07607083333335,0.0,12289.5,Pass
JP-0000063,Jungle Tiger,SUV,2.0L Petrol,Luxury,Midnight Black,Solid,Fabric,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,6.308000000000001,386.48,11755.66,345.0585541666667,0.0,12100.72,Pass
JP-0000064,Jungle Tiger,SUV,2.0L Petrol,Comfort,Ocean Blue,Metallic,Leather,Black,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.6375,402.65,10589.25,314.5720333333333,0.0,10903.82,Pass
JP-0000065,Jungle Fennec,Hatchback,1.4L Petrol,Base,Arctic White,Solid,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,5.951,381.66,9963.77,363.3181958333333,0.0,10327.09,Pass
JP-0000066,Jungle Fennec,Hatchback,1.4L Petrol,Base,Arctic White,Solid,Leather,Beige,Evening,2024-07-31,2024,3,7,July,2024-07-31,5.703166666666666,351.49,10034.64,348.97027916666667,0.0,10383.61,Pass
JP-0000067,Jungle Fennec,Hatchback,1.4L Petrol,Base,Arctic White,Solid,Leather,Beige,Morning,2024-07-31,2024,3,7,July,2024-07-31,6.286333333333334,447.28,10083.64,373.4488166666666,0.0,10457.09,Pass
JP-0000068,Jungle Fennec,Hatchback,1.4L Petrol,Base,Ocean Blue,Metallic,Fabric,Black,Night,2024-07-31,2024,3,7,July,2024-07-31,5.823666666666667,412.42,10072.23,358.95255000000003,0.0,10431.18,Pass
JP-0000069,Jungle Fennec,Hatchback,1.4L Petrol,Base,Forest Green,Metallic,Fabric,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.190166666666667,416.81,9805.72,347.12545416666666,0.0,10152.85,Pass
JP-0000070,Jungle Fennec,Hatchback,1.4L Petrol,Base,Forest Green,Metallic,Fabric,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,6.269333333333334,448.86,10044.98,351.06576666666666,0.0,10396.05,Pass
JP-0000071,Jungle Fennec,Hatchback,1.4L Petrol,Base,Forest Green,Metallic,Fabric,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,5.886666666666668,410.1,9913.04,309.3206666666667,0.0,10222.36,Pass
JP-0000072,Jungle Fennec,Hatchback,1.4L Petrol,Luxury,Forest Green,Metallic,Leather,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.150833333333335,403.15,12038.28,347.0127708333333,541.86,12927.15,Rework
JP-0000073,Jungle Fennec,Hatchback,1.4L Petrol,Luxury,Forest Green,Metallic,Leather,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.1546666666666665,381.78,12117.14,351.3615541666667,0.0,12468.5,Pass
JP-0000074,Jungle Lynx,Sedan,1.6L Diesel,Base,Midnight Black,Solid,Leather,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,5.863499999999999,402.31,10505.6,343.4033875,0.0,10849.0,Pass
JP-0000075,Jungle Lynx,Sedan,1.6L Diesel,Base,Arctic White,Solid,Leather,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,6.2796666666666665,442.18,10377.66,347.26397083333336,0.0,10724.92,Pass
JP-0000076,Jungle Lynx,Sedan,1.6L Diesel,Base,Arctic White,Solid,Leather,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,5.759166666666668,345.55,10321.3,335.2605375,0.0,10656.56,Pass
JP-0000077,Jungle Lynx,Sedan,1.6L Diesel,Base,Arctic White,Solid,Leather,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,6.133,446.68,10267.68,343.9319375,0.0,10611.61,Pass
JP-0000078,Jungle Owl,EV,Electric,Base,Pearl Ivory,Pearl,Fabric,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.131166666666668,444.87,11117.28,369.42317083333336,0.0,11486.7,Pass
JP-0000079,Jungle Fennec,Hatchback,1.4L Petrol,Base,Ocean Blue,Metallic,Leatherette,Grey,Morning,2024-08-01,2024,3,8,August,2024-08-01,5.929166666666666,367.05,9994.89,354.8149375,0.0,10349.7,Pass
JP-0000080,Jungle Lynx,Sedan,1.6L Diesel,Base,Copper Bronze,Pearl,Leather,Beige,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.177833333333334,468.67,10382.8,329.6279833333333,0.0,10712.43,Pass
JP-0000081,Jungle Lynx,Sedan,1.6L Diesel,Base,Copper Bronze,Pearl,Leather,Beige,Night,2024-08-01,2024,3,8,August,2024-08-01,6.208166666666666,396.89,10257.49,330.3995125,0.0,10587.89,Pass
JP-0000082,Jungle Lynx,Sedan,1.6L Diesel,Base,Copper Bronze,Pearl,Leather,Beige,Evening,2024-08-01,2024,3,8,August,2024-08-01,5.916166666666666,404.47,10283.65,333.79873333333336,0.0,10617.45,Pass
JP-0000083,Jungle Lynx,Sedan,1.6L Diesel,Base,Copper Bronze,Pearl,Leather,Beige,Morning,2024-08-01,2024,3,8,August,2024-08-01,5.939166666666667,356.35,10307.34,303.9121375,0.0,10611.25,Pass
JP-0000084,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Forest Green,Metallic,Leatherette,Grey,Morning,2024-08-01,2024,3,8,August,2024-08-01,5.8021666666666665,379.63,10504.26,325.93705416666666,0.0,10830.2,Pass
JP-0000085,Jungle Fennec,Hatchback,1.4L Petrol,Comfort,Forest Green,Metallic,Leatherette,Grey,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.048666666666668,397.62,10545.03,384.08133333333336,0.0,10929.11,Pass
JP-0000086,Jungle Tiger,SUV,2.0L Petrol,Base,Steel Grey,Metallic,Leatherette,Grey,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.169499999999999,438.87,9761.26,317.43052916666664,0.0,10078.69,Pass
JP-0000087,Jungle Tiger,SUV,2.0L Petrol,Base,Steel Grey,Metallic,Leatherette,Grey,Evening,2024-08-01,2024,3,8,August,2024-08-01,6.059666666666667,396.98,9840.42,343.5834083333333,0.0,10184.0,Pass
JP-0000088,Jungle Tiger,SUV,2.0L Petrol,Base,Steel Grey,Metallic,Leatherette,Grey,Evening,2024-08-01,2024,3,8,August,2024-08-01,5.997333333333335,359.84,9982.99,363.5834583333333,0.0,10346.57,Pass
JP-0000089,Jungle Tiger,SUV,2.0L Petrol,Base,Steel Grey,Metallic,Leatherette,Grey,Night,2024-08-01,2024,3,8,August,2024-08-01,5.925166666666667,361.21,9701.65,374.9722041666666,0.0,10076.62,Pass
JP-0000090,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Steel Grey,Metallic,Leatherette,Grey,Evening,2024-08-01,2024,3,8,August,2024-08-01,5.847666666666667,350.86,10669.8,332.5052416666667,0.0,11002.31,Pass
JP-0000091,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Steel Grey,Metallic,Leatherette,Grey,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.400166666666666,384.01,10925.79,342.639675,0.0,11268.43,Pass
JP-0000092,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Steel Grey,Metallic,Leatherette,Grey,Evening,2024-08-01,2024,3,8,August,2024-08-01,5.9915,359.49,10786.73,337.0810458333333,0.0,11123.81,Pass
JP-0000093,Jungle Fennec,Hatchback,1.4L Petrol,Base,Arctic White,Solid,Fabric,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,5.623166666666667,391.79,9788.34,337.5482125,0.0,10125.89,Pass
JP-0000094,Jungle Fennec,Hatchback,1.4L Petrol,Base,Arctic White,Solid,Fabric,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,6.195833333333334,389.85,10004.0,328.07057083333336,0.0,10332.07,Pass
JP-0000095,Jungle Fennec,Hatchback,1.4L Petrol,Base,Arctic White,Solid,Fabric,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,6.654166666666667,405.05,9869.79,343.57852083333336,0.0,10213.37,Pass
JP-0000096,Jungle Owl,EV,Electric,Base,Ocean Blue,Metallic,Fabric,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,5.969666666666666,379.78,11008.73,319.76685000000003,0.0,11328.5,Pass
JP-0000097,Jungle Owl,EV,Electric,Base,Ocean Blue,Metallic,Fabric,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,6.429333333333333,404.16,10842.95,364.9821666666666,9.78,11217.71,Rework
JP-0000098,Jungle Owl,EV,Electric,Base,Ocean Blue,Metallic,Fabric,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,6.065166666666666,363.91,11140.9,327.92403333333334,0.0,11468.82,Pass
JP-0000099,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Pearl Ivory,Pearl,Leather,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.320833333333332,449.65,10830.23,352.96796666666665,0.0,11183.2,Pass
JP-0000100,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Pearl Ivory,Pearl,Leather,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.148,424.88,10812.89,346.9730375,0.0,11159.86,Pass
JP-0000101,Jungle Lynx,Sedan,1.6L Diesel,Comfort,Pearl Ivory,Pearl,Leather,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,5.778666666666667,346.72,10824.74,332.7588,0.0,11157.5,Pass
JP-0000102,Jungle Lynx,Sedan,1.6L Diesel,Base,Midnight Black,Solid,Fabric,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,5.6585,399.51,10301.1,333.06963333333334,0.0,10634.17,Pass
JP-0000103,Jungle Lynx,Sedan,1.6L Diesel,Base,Midnight Black,Solid,Fabric,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.2375,374.25,10352.61,335.4927208333333,0.0,10688.1,Pass
JP-0000104,Jungle Lynx,Sedan,1.6L Diesel,Base,Midnight Black,Solid,Fabric,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,5.8133333333333335,420.2,10372.65,356.22816666666665,0.0,10728.88,Pass
JP-0000105,Jungle Lynx,Sedan,1.6L Diesel,Base,Midnight Black,Solid,Fabric,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,6.113333333333332,366.8,10372.45,347.8156375,0.0,10720.27,Pass
JP-0000106,Jungle Lynx,Sedan,1.6L Diesel,Luxury,Pearl Ivory,Pearl,Fabric,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,5.758666666666667,406.12,12363.93,344.66797916666667,0.0,12708.6,Pass
JP-0000107,Jungle Lynx,Sedan,1.6L Diesel,Luxury,Pearl Ivory,Pearl,Fabric,Black,Evening,2024-08-01,2024,3,8,August,2024-08-01,6.241833333333333,374.51,12446.43,358.5296416666667,0.0,12804.96,Pass
JP-0000108,Jungle Lynx,Sedan,1.6L Diesel,Luxury,Pearl Ivory,Pearl,Fabric,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,6.176666666666667,370.6,12344.77,352.7115625,0.0,12697.48,Pass
JP-0000109,Jungle Lynx,Sedan,1.6L Diesel,Luxury,Pearl Ivory,Pearl,Fabric,Black,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.045666666666667,402.74,12306.35,360.0387666666667,0.0,12666.39,Pass
JP-0000110,Jungle Tiger,SUV,2.0L Petrol,Luxury,Copper Bronze,Pearl,Leatherette,Grey,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.030333333333333,383.02,11890.63,324.7676583333333,0.0,12215.4,Pass
JP-0000111,Jungle Tiger,SUV,2.0L Petrol,Luxury,Copper Bronze,Pearl,Leatherette,Grey,Morning,2024-08-01,2024,3,8,August,2024-08-01,5.878833333333334,391.43,11881.52,338.7465708333333,0.0,12220.27,Pass
JP-0000112,Jungle Tiger,SUV,2.0L Petrol,Luxury,Copper Bronze,Pearl,Leatherette,Grey,Morning,2024-08-01,2024,3,8,August,2024-08-01,6.2285,373.71,11903.78,354.2200041666667,0.0,12258.0,Pass
JP-0000113,Jungle Tiger,SUV,2.0L Petrol,Luxury,Ocean Blue,Metallic,Leatherette,Grey,Night,2024-08-01,2024,3,8,August,2024-08-01,6.020333333333332,442.72,11824.25,355.28226666666666,0.0,12179.53,Pass
JP-0000114,Jungle Tiger,SUV,2.0L Petrol,Luxury,Ocean Blue,Metallic,Leatherette,Grey,Night,2024-08-01,2024,3,8,August,2024-08-01,5.814666666666667,348.88,11790.29,337.1473041666667,0.0,12127.44,Pass
JP-0000115,Jungle Tiger,SUV,2.0L Petrol,Luxury,Ocean Blue,Metallic,Leatherette,Grey,Evening,2024-08-01,2024,3,8,August,2024-08-01,6.044499999999999,362.67,11736.3,338.3260875,0.0,12074.63,Pass
JP-0000116,Jungle Tiger,SUV,2.0L Petrol,Luxury,Ocean Blue,Metallic,Leatherette,Grey,Night,2024-08-01,2024,3,8,August,2024-08-01,5.831,400.46,11809.47,344.32817083333333,0.0,12153.8,Pass
JP-0000117,Jungle Fennec,Hatchback,1.4L Petrol,Base,Steel Grey,Metallic,Fabric,Black,Night,2024-08-01,2024,3,8,August,2024-08-01,6.1531666666666665,389.89,10018.19,347.7192416666667,160.8,10526.71,Rework
