defect_id,detected_date_id,detected_date,year,month,month_name,part_name,part_category,supplier_name,reliability_score,station_name,station_type,defect_type,severity,resolution,rework_cost,rework_time_minutes
57,20240814,2024-08-14,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,minor,rework,92.96,17.0
58,20240814,2024-08-14,2024,8,August,,,,,Painting - Station 05,Painting,cosmetic,minor,rework,10.06,26.6
59,20240814,2024-08-14,2024,8,August,Door Trim v7,Interior,"Johnson, Gonzalez and Santos",85.8,Interior Assembly - Station 11,Interior Assembly,assembly,minor,accepted_with_deviation,0.79,10.4
60,20240814,2024-08-14,2024,8,August,,,,,Painting - Station 04,Painting,cosmetic,minor,rework,8.66,22.9
61,20240814,2024-08-14,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,161.67,19.3
62,20240814,2024-08-14,2024,8,August,Rear Bumper v5,Exterior,Wolfe LLC,91.2,Exterior Trim - Station 15,Exterior Trim,cosmetic,major,scrap,461.85,33.3
63,20240814,2024-08-14,2024,8,August,,,,,Welding - Station 02,Welding,dimensional,minor,rework,11.13,29.4
64,20240815,2024-08-15,2024,8,August,,,,,Welding - Station 01,Welding,dimensional,minor,rework,7.14,18.9
65,20240815,2024-08-15,2024,8,August,,,,,Welding - Station 01,Welding,dimensional,minor,rework,11.35,30.0
66,20240815,2024-08-15,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,159.28,13.0
67,20240815,2024-08-15,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,165.28,28.8
68,20240815,2024-08-15,2024,8,August,,,,,Welding - Station 02,Welding,dimensional,minor,rework,7.83,20.7
69,20240815,2024-08-15,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 08,Chassis Assembly,assembly,critical,rework,191.25,105.5
70,20240816,2024-08-16,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,94.99,22.3
71,20240816,2024-08-16,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 07,Powertrain Assembly,functional,minor,rework,538.94,13.0
72,20240816,2024-08-16,2024,8,August,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 10,Interior Assembly,assembly,critical,rework,177.81,107.0
73,20240817,2024-08-17,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 06,Powertrain Assembly,functional,critical,scrap,2175.13,103.2
74,20240817,2024-08-17,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,minor,rework,96.19,25.5
75,20240819,2024-08-19,2024,8,August,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 16,Exterior Trim,cosmetic,minor,rework,120.65,19.8
76,20240819,2024-08-19,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 09,Chassis Assembly,assembly,major,rework,174.73,61.9
77,20240819,2024-08-19,2024,8,August,ECU Module v7,Electrical,"Rodriguez, Figueroa and Sanchez",88.0,Electrical Assembly - Station 13,Electrical Assembly,electrical,critical,rework,86.76,118.5
78,20240819,2024-08-19,2024,8,August,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 15,Exterior Trim,cosmetic,major,rework,133.42,53.5
79,20240820,2024-08-20,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 07,Powertrain Assembly,functional,minor,rework,542.16,21.5
80,20240820,2024-08-20,2024,8,August,,,,,Welding - Station 01,Welding,dimensional,minor,rework,7.62,20.1
81,20240820,2024-08-20,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,91.78,13.8
82,20240820,2024-08-20,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 06,Powertrain Assembly,functional,minor,rework,537.93,10.3
83,20240820,2024-08-20,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,critical,rework,112.16,67.7
84,20240821,2024-08-21,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,minor,rework,91.52,13.2
85,20240821,2024-08-21,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,93.84,19.3
86,20240821,2024-08-21,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,164.46,26.7
87,20240821,2024-08-21,2024,8,August,,,,,Final Assembly - Station 18,Final Assembly,assembly,minor,rework,4.0,10.6
88,20240821,2024-08-21,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,91.93,14.3
89,20240821,2024-08-21,2024,8,August,Dashboard Panel v5,Interior,Davis-Abbott,83.4,Interior Assembly - Station 11,Interior Assembly,assembly,major,rework,143.17,63.8
90,20240821,2024-08-21,2024,8,August,Backup Camera v6,Safety,Cole LLC,99.0,Safety Systems - Station 17,Safety Systems,functional,minor,accepted_with_deviation,2.17,28.7
91,20240822,2024-08-22,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 09,Chassis Assembly,assembly,major,rework,166.9,41.2
92,20240822,2024-08-22,2024,8,August,,,,,Painting - Station 04,Painting,cosmetic,minor,rework,5.05,13.4
93,20240822,2024-08-22,2024,8,August,,,,,Painting - Station 05,Painting,cosmetic,minor,rework,4.28,11.3
94,20240822,2024-08-22,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,160.03,23.0
95,20240822,2024-08-22,2024,8,August,ABS Unit v4,Safety,"Rodriguez, Figueroa and Sanchez",88.0,Safety Systems - Station 17,Safety Systems,functional,major,accepted_with_deviation,2.74,36.2
96,20240823,2024-08-23,2024,8,August,,,,,Painting - Station 04,Painting,cosmetic,major,rework,21.67,57.3
97,20240823,2024-08-23,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,158.77,11.6
98,20240823,2024-08-23,2024,8,August,,,,,Welding - Station 02,Welding,dimensional,minor,rework,4.96,13.1
99,20240823,2024-08-23,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,164.08,25.7
100,20240824,2024-08-24,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 09,Chassis Assembly,assembly,major,rework,178.65,72.2
101,20240825,2024-08-25,2024,8,August,Dashboard Panel v5,Interior,Davis-Abbott,83.4,Interior Assembly - Station 10,Interior Assembly,assembly,major,rework,146.22,71.8
102,20240825,2024-08-25,2024,8,August,,,,,Painting - Station 04,Painting,cosmetic,minor,rework,8.67,22.9
103,20240825,2024-08-25,2024,8,August,Center Console,Interior,Rhodes PLC,80.3,Interior Assembly - Station 11,Interior Assembly,assembly,major,rework,186.36,52.6
104,20240826,2024-08-26,2024,8,August,,,,,Welding - Station 01,Welding,dimensional,minor,accepted_with_deviation,1.96,25.9
105,20240826,2024-08-26,2024,8,August,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,156.63,14.0
106,20240827,2024-08-27,2024,8,August,,,,,Painting - Station 05,Painting,cosmetic,minor,rework,4.93,13.0
107,20240827,2024-08-27,2024,8,August,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 12,Interior Assembly,assembly,minor,rework,143.85,17.2
108,20240827,2024-08-27,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,minor,accepted_with_deviation,1.05,13.8
109,20240827,2024-08-27,2024,8,August,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,minor,rework,163.94,25.3
110,20240828,2024-08-28,2024,8,August,Dashboard Panel v5,Interior,Davis-Abbott,83.4,Interior Assembly - Station 11,Interior Assembly,assembly,major,rework,139.45,53.9
111,20240828,2024-08-28,2024,8,August,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,94.77,21.8
112,20240829,2024-08-29,2024,8,August,,,,,Welding - Station 02,Welding,dimensional,major,rework,25.85,68.3
113,20240829,2024-08-29,2024,8,August,Center Console,Interior,Rhodes PLC,80.3,Interior Assembly - Station 12,Interior Assembly,assembly,minor,rework,177.17,28.4
114,20240829,2024-08-29,2024,8,August,ABS Unit v4,Safety,"Rodriguez, Figueroa and Sanchez",88.0,Safety Systems - Station 17,Safety Systems,functional,minor,rework,78.84,12.6
115,20240829,2024-08-29,2024,8,August,Rear Bumper v5,Exterior,Wolfe LLC,91.2,Exterior Trim - Station 15,Exterior Trim,cosmetic,minor,rework,118.87,17.3
116,20240829,2024-08-29,2024,8,August,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 15,Exterior Trim,cosmetic,minor,rework,121.08,20.9
117,20240831,2024-08-31,2024,8,August,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 06,Powertrain Assembly,functional,major,rework,553.33,51.0
118,20240831,2024-08-31,2024,8,August,,,,,Final Assembly - Station 18,Final Assembly,assembly,minor,rework,10.23,27.0
119,20240901,2024-09-01,2024,9,September,,,,,Welding - Station 03,Welding,dimensional,major,accepted_with_deviation,4.46,59.0
120,20240901,2024-09-01,2024,9,September,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 11,Interior Assembly,assembly,minor,rework,145.06,20.4
121,20240901,2024-09-01,2024,9,September,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,minor,rework,669.62,26.6
122,20240902,2024-09-02,2024,9,September,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 09,Chassis Assembly,assembly,critical,rework,199.72,127.9
123,20240902,2024-09-02,2024,9,September,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 06,Powertrain Assembly,functional,minor,rework,539.51,14.5
124,20240902,2024-09-02,2024,9,September,,,,,Welding - Station 02,Welding,dimensional,minor,accepted_with_deviation,1.64,21.7
125,20240902,2024-09-02,2024,9,September,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,minor,rework,95.81,24.5
126,20240902,2024-09-02,2024,9,September,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,minor,rework,94.02,19.8
127,20240902,2024-09-02,2024,9,September,Rear Bumper v5,Exterior,Wolfe LLC,91.2,Exterior Trim - Station 16,Exterior Trim,cosmetic,critical,rework,157.51,119.4
128,20240902,2024-09-02,2024,9,September,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,minor,rework,665.24,15.0
129,20240902,2024-09-02,2024,9,September,,,,,Final Assembly - Station 18,Final Assembly,assembly,major,rework,24.81,65.6
130,20240903,2024-09-03,2024,9,September,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 10,Interior Assembly,assembly,major,rework,159.78,59.3
131,20240903,2024-09-03,2024,9,September,,,,,Painting - Station 04,Painting,cosmetic,minor,rework,5.42,14.3
132,20240903,2024-09-03,2024,9,September,,,,,Welding - Station 03,Welding,dimensional,major,rework,21.75,57.5
133,20240903,2024-09-03,2024,9,September,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,major,rework,111.22,65.2
134,20240903,2024-09-03,2024,9,September,,,,,Painting - Station 05,Painting,cosmetic,minor,rework,8.92,23.6
135,20240903,2024-09-03,2024,9,September,ABS Unit v4,Safety,"Rodriguez, Figueroa and Sanchez",88.0,Safety Systems - Station 17,Safety Systems,functional,major,rework,92.25,48.0
136,20240903,2024-09-03,2024,9,September,,,,,Welding - Station 01,Welding,dimensional,minor,rework,11.12,29.4
137,20240903,2024-09-03,2024,9,September,,,,,Welding - Station 01,Welding,dimensional,minor,rework,7.65,20.2
138,20240903,2024-09-03,2024,9,September,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 06,Powertrain Assembly,functional,major,scrap,2661.9,62.4
139,20240903,2024-09-03,2024,9,September,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 09,Chassis Assembly,assembly,major,rework,170.43,42.5
140,20240904,2024-09-04,2024,9,September,,,,,Welding - Station 01,Welding,dimensional,minor,rework,4.14,10.9
141,20240904,2024-09-04,2024,9,September,Rear Bumper v5,Exterior,Wolfe LLC,91.2,Exterior Trim - Station 16,Exterior Trim,cosmetic,minor,rework,122.88,27.9
142,20240904,2024-09-04,2024,9,September,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,critical,rework,683.07,62.1
143,20240904,2024-09-04,2024,9,September,Center Console,Interior,Rhodes PLC,80.3,Interior Assembly - Station 11,Interior Assembly,assembly,minor,rework,177.3,28.7
144,20240904,2024-09-04,2024,9,September,,,,,Painting - Station 04,Painting,cosmetic,minor,rework,5.08,13.4
145,20240904,2024-09-04,2024,9,September,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,major,rework,687.68,74.3
146,20240904,2024-09-04,2024,9,September,Rear Bumper v5,Exterior,Wolfe LLC,91.2,Exterior Trim - Station 15,Exterior Trim,cosmetic,major,rework,126.0,36.2
147,20240904,2024-09-04,2024,9,September,,,,,Welding - Station 02,Welding,dimensional,critical,rework,34.72,91.8
148,20240905,2024-09-05,2024,9,September,,,,,Final Assembly - Station 18,Final Assembly,assembly,critical,scrap,31.84,84.1
149,20240905,2024-09-05,2024,9,September,Rear Bumper v5,Exterior,Wolfe LLC,91.2,Exterior Trim - Station 16,Exterior Trim,cosmetic,minor,rework,116.36,10.7
150,20240905,2024-09-05,2024,9,September,,,,,Welding - Station 01,Welding,dimensional,minor,rework,6.58,17.4
151,20240905,2024-09-05,2024,9,September,Backup Camera v6,Safety,Cole LLC,99.0,Safety Systems - Station 17,Safety Systems,functional,major,rework,123.54,62.3
152,20240905,2024-09-05,2024,9,September,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,91.42,12.9
153,20240905,2024-09-05,2024,9,September,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 10,Interior Assembly,assembly,major,rework,152.79,40.8
154,20240905,2024-09-05,2024,9,September,,,,,Welding - Station 01,Welding,dimensional,minor,accepted_with_deviation,0.84,11.1
155,20240905,2024-09-05,2024,9,September,,,,,Welding - Station 01,Welding,dimensional,minor,rework,8.39,22.2
156,20240905,2024-09-05,2024,9,September,,,,,Painting - Station 05,Painting,cosmetic,minor,rework,8.18,21.6
157,20240906,2024-09-06,2024,9,September,ABS Unit v4,Safety,"Rodriguez, Figueroa and Sanchez",88.0,Safety Systems - Station 17,Safety Systems,functional,minor,rework,80.81,17.8
158,20240906,2024-09-06,2024,9,September,Shock Absorber v3,Chassis,Wyatt Inc,85.8,Chassis Assembly - Station 09,Chassis Assembly,assembly,major,scrap,624.56,51.0
159,20240906,2024-09-06,2024,9,September,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 08,Chassis Assembly,assembly,minor,rework,165.37,29.1
160,20240906,2024-09-06,2024,9,September,Headliner v2,Interior,Rhodes PLC,80.3,Interior Assembly - Station 10,Interior Assembly,assembly,minor,rework,145.82,22.4
161,20240906,2024-09-06,2024,9,September,,,,,Painting - Station 05,Painting,cosmetic,major,rework,14.19,37.5
162,20240906,2024-09-06,2024,9,September,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 13,Electrical Assembly,electrical,minor,rework,97.39,28.7
163,20240906,2024-09-06,2024,9,September,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 16,Exterior Trim,cosmetic,minor,rework,117.69,11.9
164,20240906,2024-09-06,2024,9,September,,,,,Final Assembly - Station 18,Final Assembly,assembly,minor,rework,3.91,10.3
165,20240906,2024-09-06,2024,9,September,Door Trim v7,Interior,"Johnson, Gonzalez and Santos",85.8,Interior Assembly - Station 12,Interior Assembly,assembly,minor,rework,74.72,21.6
166,20240908,2024-09-08,2024,9,September,Grille v2,Exterior,Arnold Ltd,99.0,Exterior Trim - Station 15,Exterior Trim,cosmetic,minor,accepted_with_deviation,1.74,23.0
167,20240908,2024-09-08,2024,9,September,Brake Caliper v4,Chassis,Blair PLC,99.0,Chassis Assembly - Station 08,Chassis Assembly,assembly,minor,rework,162.5,21.5
168,20240908,2024-09-08,2024,9,September,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,minor,rework,96.84,27.2
169,20240908,2024-09-08,2024,9,September,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 07,Powertrain Assembly,functional,critical,rework,695.62,95.3
170,20240909,2024-09-09,2024,9,September,Battery Pack v2,Electrical,Wolfe LLC,91.2,Electrical Assembly - Station 14,Electrical Assembly,electrical,major,rework,104.84,48.4
171,20240909,2024-09-09,2024,9,September,Drive Shaft v4,Powertrain,"Rodriguez, Figueroa and Sanchez",88.0,Powertrain Assembly - Station 07,Powertrain Assembly,functional,major,rework,557.5,62.0
172,20240909,2024-09-09,2024,9,September,Electric Motor v6,Powertrain,Wyatt Inc,85.8,Powertrain Assembly - Station 06,Powertrain Assembly,functional,major,rework,682.25,59.9
