model_name,segment,trim_name,color_name,year,month,month_name,n_units,avg_material_cost,avg_labor_cost,avg_rework_cost,avg_total_cost,sum_total_cost
Jungle Fennec,Hatchback,Base,Crimson Red,2024,11,November,56,10087.03,343.06,12.57,10442.66,584789.06
Jungle Fennec,Hatchback,Base,Crimson Red,2024,12,December,51,10107.67,340.84,0.18,10448.69,532883.31
Jungle Fennec,Hatchback,Base,Crimson Red,2025,1,January,41,10173.98,340.35,5.83,10520.16,431326.45
Jungle Fennec,Hatchback,Base,Crimson Red,2025,2,February,39,10205.12,341.4,0.0,10546.53,411314.51
Jungle Fennec,Hatchback,Base,Crimson Red,2025,3,March,86,10222.5,342.07,14.27,10578.84,909780.08
Jungle Fennec,Hatchback,Base,Crimson Red,2025,4,April,48,10265.34,340.16,5.78,10611.29,509341.76
Jungle Fennec,Hatchback,Base,Crimson Red,2025,5,May,49,10278.4,339.29,8.81,10626.5,520698.48
Jungle Fennec,Hatchback,Base,Crimson Red,2025,6,June,32,10327.58,338.61,47.08,10713.28,342824.84
Jungle Fennec,Hatchback,Base,Crimson Red,2025,7,July,41,10380.39,342.62,6.96,10729.97,439928.85
Jungle Fennec,Hatchback,Base,Crimson Red,2025,8,August,26,10432.11,338.07,4.94,10775.12,280153.07
Jungle Fennec,Hatchback,Base,Crimson Red,2025,9,September,76,10461.03,341.15,4.71,10806.88,821323.23
Jungle Fennec,Hatchback,Base,Crimson Red,2025,10,October,67,10466.58,340.77,14.87,10822.22,725088.57
Jungle Fennec,Hatchback,Base,Crimson Red,2025,11,November,40,10510.71,340.08,4.82,10855.6,434224.19
Jungle Fennec,Hatchback,Base,Crimson Red,2025,12,December,27,10555.53,340.08,17.38,10912.99,294650.81
Jungle Fennec,Hatchback,Base,Crimson Red,2026,1,January,44,10592.34,343.14,3.69,10939.17,481323.68
Jungle Fennec,Hatchback,Base,Crimson Red,2026,2,February,51,10634.12,341.6,3.31,10979.03,559930.4
Jungle Fennec,Hatchback,Base,Crimson Red,2026,3,March,43,10691.85,338.48,9.04,11039.37,474692.85
Jungle Fennec,Hatchback,Base,Crimson Red,2026,4,April,58,10707.52,340.42,22.35,11070.29,642076.94
Jungle Fennec,Hatchback,Base,Crimson Red,2026,5,May,45,10744.57,337.2,22.52,11104.29,499693.18
Jungle Fennec,Hatchback,Base,Crimson Red,2026,6,June,47,10804.85,343.71,15.47,11164.02,524709.05
Jungle Fennec,Hatchback,Base,Crimson Red,2026,7,July,32,10810.18,342.04,54.73,11206.95,358622.43
Jungle Fennec,Hatchback,Base,Forest Green,2024,8,August,52,9963.07,338.38,14.99,10316.44,536454.87
Jungle Fennec,Hatchback,Base,Forest Green,2024,9,September,57,10001.28,341.5,20.11,10362.89,590684.79
Jungle Fennec,Hatchback,Base,Forest Green,2024,10,October,54,10044.01,342.89,6.06,10392.96,561219.67
Jungle Fennec,Hatchback,Base,Forest Green,2024,11,November,69,10089.55,341.09,8.62,10439.26,720309.0
Jungle Fennec,Hatchback,Base,Forest Green,2024,12,December,48,10117.07,335.19,13.56,10465.82,502359.56
Jungle Fennec,Hatchback,Base,Forest Green,2025,1,January,37,10141.69,336.86,0.18,10478.73,387713.0
Jungle Fennec,Hatchback,Base,Forest Green,2025,2,February,42,10179.04,339.35,5.38,10523.77,441998.36
Jungle Fennec,Hatchback,Base,Forest Green,2025,3,March,55,10221.65,342.66,24.43,10588.74,582380.65
Jungle Fennec,Hatchback,Base,Forest Green,2025,4,April,54,10278.08,342.99,11.27,10632.35,574146.63
Jungle Fennec,Hatchback,Base,Forest Green,2025,5,May,61,10317.67,340.58,11.82,10670.07,650874.34
Jungle Fennec,Hatchback,Base,Forest Green,2025,6,June,40,10345.28,342.28,8.35,10695.91,427836.54
Jungle Fennec,Hatchback,Base,Forest Green,2025,7,July,35,10381.44,341.23,3.88,10726.55,375429.13
Jungle Fennec,Hatchback,Base,Forest Green,2025,8,August,42,10417.51,336.49,0.27,10754.28,451679.58
Jungle Fennec,Hatchback,Base,Forest Green,2025,9,September,69,10449.53,344.81,1.74,10796.09,744929.99
Jungle Fennec,Hatchback,Base,Forest Green,2025,10,October,20,10475.65,340.49,0.0,10816.14,216322.8
Jungle Fennec,Hatchback,Base,Forest Green,2025,11,November,54,10543.47,336.78,10.02,10890.28,588075.01
Jungle Fennec,Hatchback,Base,Forest Green,2025,12,December,52,10556.71,333.88,31.94,10922.53,567971.44
Jungle Fennec,Hatchback,Base,Forest Green,2026,1,January,35,10602.1,340.46,2.78,10945.34,383087.01
Jungle Fennec,Hatchback,Base,Forest Green,2026,2,February,41,10650.42,341.92,25.87,11018.22,451747.01
Jungle Fennec,Hatchback,Base,Forest Green,2026,3,March,38,10664.96,340.97,10.13,11016.06,418610.32
Jungle Fennec,Hatchback,Base,Forest Green,2026,4,April,28,10747.53,339.69,5.68,11092.9,310601.3
Jungle Fennec,Hatchback,Base,Forest Green,2026,5,May,36,10747.27,339.23,29.82,11116.32,400187.49
Jungle Fennec,Hatchback,Base,Forest Green,2026,6,June,43,10768.67,341.39,23.37,11133.43,478737.57
Jungle Fennec,Hatchback,Base,Forest Green,2026,7,July,31,10804.57,334.99,22.58,11162.14,346026.39
Jungle Fennec,Hatchback,Base,Midnight Black,2024,8,August,16,9941.92,343.05,78.06,10363.03,165808.44
Jungle Fennec,Hatchback,Base,Midnight Black,2024,9,September,64,9988.17,346.9,8.05,10343.12,661959.72
Jungle Fennec,Hatchback,Base,Midnight Black,2024,10,October,62,10047.04,339.06,26.09,10412.18,645555.36
Jungle Fennec,Hatchback,Base,Midnight Black,2024,11,November,55,10085.02,336.89,9.96,10431.87,573752.99
Jungle Fennec,Hatchback,Base,Midnight Black,2024,12,December,44,10118.08,342.21,4.71,10465.0,460459.81
Jungle Fennec,Hatchback,Base,Midnight Black,2025,1,January,44,10170.57,337.12,3.8,10511.49,462505.68
Jungle Fennec,Hatchback,Base,Midnight Black,2025,2,February,31,10170.74,338.9,9.81,10519.45,326102.88
Jungle Fennec,Hatchback,Base,Midnight Black,2025,3,March,38,10219.76,340.73,14.27,10574.77,401841.11
Jungle Fennec,Hatchback,Base,Midnight Black,2025,4,April,51,10265.47,338.4,8.75,10612.62,541243.61
Jungle Fennec,Hatchback,Base,Midnight Black,2025,5,May,59,10293.9,343.76,17.2,10654.86,628636.54
Jungle Fennec,Hatchback,Base,Midnight Black,2025,6,June,33,10335.05,342.2,7.42,10684.67,352594.2
Jungle Fennec,Hatchback,Base,Midnight Black,2025,7,July,45,10372.01,334.88,5.69,10712.59,482066.4
Jungle Fennec,Hatchback,Base,Midnight Black,2025,8,August,16,10463.34,335.45,5.96,10804.76,172876.09
Jungle Fennec,Hatchback,Base,Midnight Black,2025,9,September,33,10471.0,333.96,0.06,10805.02,356565.72
Jungle Fennec,Hatchback,Base,Midnight Black,2025,10,October,65,10486.6,343.18,17.61,10847.38,705079.93
Jungle Fennec,Hatchback,Base,Midnight Black,2025,11,November,44,10534.76,340.41,3.19,10878.36,478647.94
Jungle Fennec,Hatchback,Base,Midnight Black,2025,12,December,46,10549.65,344.49,9.65,10903.78,501573.99
Jungle Fennec,Hatchback,Base,Midnight Black,2026,1,January,38,10602.85,339.89,18.2,10960.93,416515.46
Jungle Fennec,Hatchback,Base,Midnight Black,2026,2,February,45,10643.45,342.88,2.05,10988.38,494477.08
Jungle Fennec,Hatchback,Base,Midnight Black,2026,3,March,56,10664.15,337.63,50.28,11052.06,618915.12
Jungle Fennec,Hatchback,Base,Midnight Black,2026,4,April,50,10717.21,339.59,11.56,11068.35,553417.69
Jungle Fennec,Hatchback,Base,Midnight Black,2026,5,May,42,10742.02,337.86,25.69,11105.57,466434.07
Jungle Fennec,Hatchback,Base,Midnight Black,2026,6,June,26,10794.24,344.38,11.66,11150.27,289907.12
Jungle Fennec,Hatchback,Base,Midnight Black,2026,7,July,23,10827.37,338.29,150.49,11316.15,260271.43
Jungle Fennec,Hatchback,Base,Ocean Blue,2024,7,July,2,10049.11,345.03,0.0,10394.13,20788.26
Jungle Fennec,Hatchback,Base,Ocean Blue,2024,8,August,37,9980.0,337.67,14.64,10332.32,382295.7
Jungle Fennec,Hatchback,Base,Ocean Blue,2024,9,September,33,10005.63,336.6,11.36,10353.59,341668.47
Jungle Fennec,Hatchback,Base,Ocean Blue,2024,10,October,81,10047.71,338.69,13.22,10399.63,842369.95
Jungle Fennec,Hatchback,Base,Ocean Blue,2024,11,November,42,10070.91,339.03,7.92,10417.87,437550.38
Jungle Fennec,Hatchback,Base,Ocean Blue,2024,12,December,52,10109.19,341.0,9.27,10459.46,543891.84
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,1,January,36,10159.21,340.45,7.75,10507.42,378267.02
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,2,February,60,10208.5,339.8,21.34,10569.64,634178.4
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,3,March,50,10223.81,342.26,36.67,10602.74,530136.96
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,4,April,46,10260.15,341.86,8.66,10610.67,488090.97
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,5,May,59,10285.81,338.02,21.87,10645.69,628095.74
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,6,June,49,10333.73,342.76,8.02,10684.51,523540.78
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,7,July,37,10370.85,335.86,2.57,10709.28,396243.29
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,8,August,32,10415.51,344.76,34.41,10794.68,345429.63
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,9,September,60,10464.63,343.19,9.71,10817.53,649051.58
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,10,October,50,10483.33,341.35,3.56,10828.25,541412.27
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,11,November,44,10521.26,342.09,23.0,10886.36,478999.62
Jungle Fennec,Hatchback,Base,Ocean Blue,2025,12,December,40,10576.77,341.02,6.67,10924.45,436978.16
Jungle Fennec,Hatchback,Base,Ocean Blue,2026,1,January,45,10592.9,341.34,18.82,10953.06,492887.57
Jungle Fennec,Hatchback,Base,Ocean Blue,2026,2,February,30,10629.08,345.06,11.38,10985.52,329565.45
Jungle Fennec,Hatchback,Base,Ocean Blue,2026,3,March,68,10670.16,341.75,7.53,11019.43,749321.06
Jungle Fennec,Hatchback,Base,Ocean Blue,2026,4,April,61,10711.34,340.01,6.17,11057.52,674508.57
Jungle Fennec,Hatchback,Base,Ocean Blue,2026,5,May,46,10753.49,340.34,8.37,11102.2,510701.11
Jungle Fennec,Hatchback,Base,Ocean Blue,2026,6,June,33,10793.32,338.45,2.94,11134.72,367445.62
Jungle Fennec,Hatchback,Base,Ocean Blue,2026,7,July,40,10831.77,338.58,6.8,11177.15,447086.07
Jungle Fennec,Hatchback,Base,Pearl Ivory,2024,8,August,20,9953.15,338.79,7.83,10299.77,205995.39
Jungle Fennec,Hatchback,Base,Pearl Ivory,2024,9,September,63,9998.44,339.81,23.3,10361.55,652777.43
Jungle Fennec,Hatchback,Base,Pearl Ivory,2024,10,October,63,10031.33,338.54,17.3,10387.17,654391.5
Jungle Fennec,Hatchback,Base,Pearl Ivory,2024,11,November,75,10079.63,338.98,4.68,10423.3,781747.15
Jungle Fennec,Hatchback,Base,Pearl Ivory,2024,12,December,49,10125.42,339.5,23.81,10488.74,513948.43
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,1,January,54,10144.41,340.83,24.85,10510.09,567544.87
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,2,February,51,10177.14,338.52,10.33,10526.0,536825.76
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,3,March,34,10247.14,337.56,25.88,10610.58,360759.58
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,4,April,70,10274.98,338.4,27.59,10640.97,744867.81
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,5,May,60,10308.67,340.78,4.44,10653.9,639233.79
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,6,June,18,10351.29,345.2,0.32,10696.8,192542.45
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,7,July,33,10387.14,339.93,9.91,10736.98,354320.34
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,8,August,32,10398.37,344.39,3.56,10746.32,343882.38
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,9,September,52,10429.48,342.53,12.03,10784.04,560769.86
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,10,October,40,10494.92,339.9,17.51,10852.32,434092.98
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,11,November,34,10526.81,335.7,21.33,10883.84,370050.7
Jungle Fennec,Hatchback,Base,Pearl Ivory,2025,12,December,50,10552.63,340.87,9.22,10902.72,545136.09
Jungle Fennec,Hatchback,Base,Pearl Ivory,2026,1,January,42,10594.96,338.92,2.83,10936.71,459342.01
Jungle Fennec,Hatchback,Base,Pearl Ivory,2026,2,February,33,10625.74,344.29,9.94,10979.97,362338.97
Jungle Fennec,Hatchback,Base,Pearl Ivory,2026,3,March,52,10664.81,337.42,10.06,11012.3,572639.4
Jungle Fennec,Hatchback,Base,Pearl Ivory,2026,4,April,43,10705.32,340.14,20.3,11065.76,475827.77
Jungle Fennec,Hatchback,Base,Pearl Ivory,2026,5,May,44,10749.29,344.86,19.38,11113.52,488995.09
Jungle Fennec,Hatchback,Base,Pearl Ivory,2026,6,June,36,10785.38,337.44,8.91,11131.73,400742.25
Jungle Fennec,Hatchback,Base,Pearl Ivory,2026,7,July,36,10802.01,339.1,2.97,11144.08,401187.01
Jungle Fennec,Hatchback,Base,Steel Grey,2024,8,August,22,9972.28,337.15,7.31,10316.73,226968.1
Jungle Fennec,Hatchback,Base,Steel Grey,2024,9,September,47,10001.33,340.69,16.65,10358.67,486857.46
Jungle Fennec,Hatchback,Base,Steel Grey,2024,10,October,58,10044.32,341.91,19.93,10406.16,603557.28
Jungle Fennec,Hatchback,Base,Steel Grey,2024,11,November,35,10070.75,342.45,27.3,10440.5,365417.53
Jungle Fennec,Hatchback,Base,Steel Grey,2024,12,December,63,10127.06,338.81,4.09,10469.96,659607.31
Jungle Fennec,Hatchback,Base,Steel Grey,2025,1,January,64,10140.75,339.75,6.76,10487.26,671184.57
Jungle Fennec,Hatchback,Base,Steel Grey,2025,2,February,43,10188.21,342.88,3.39,10534.48,452982.48
Jungle Fennec,Hatchback,Base,Steel Grey,2025,3,March,41,10234.38,337.03,27.98,10599.39,434575.09
Jungle Fennec,Hatchback,Base,Steel Grey,2025,4,April,64,10267.39,341.26,9.02,10617.67,679530.84
Jungle Fennec,Hatchback,Base,Steel Grey,2025,5,May,58,10300.97,345.1,3.34,10649.41,617665.55
Jungle Fennec,Hatchback,Base,Steel Grey,2025,6,June,45,10339.48,343.44,8.9,10691.82,481131.94
Jungle Fennec,Hatchback,Base,Steel Grey,2025,7,July,43,10372.8,341.86,10.11,10724.77,461165.05
Jungle Fennec,Hatchback,Base,Steel Grey,2025,8,August,34,10416.14,339.04,23.78,10778.96,366484.49
Jungle Fennec,Hatchback,Base,Steel Grey,2025,9,September,33,10443.92,341.62,8.2,10793.74,356193.45
Jungle Fennec,Hatchback,Base,Steel Grey,2025,10,October,40,10484.33,338.77,7.32,10830.42,433216.74
Jungle Fennec,Hatchback,Base,Steel Grey,2025,11,November,56,10518.39,336.01,14.38,10868.78,608651.63
Jungle Fennec,Hatchback,Base,Steel Grey,2025,12,December,57,10570.46,337.54,16.91,10924.91,622719.86
Jungle Fennec,Hatchback,Base,Steel Grey,2026,1,January,47,10608.05,344.59,11.85,10964.49,515330.9
Jungle Fennec,Hatchback,Base,Steel Grey,2026,2,February,25,10635.89,342.48,27.34,11005.71,275142.7
Jungle Fennec,Hatchback,Base,Steel Grey,2026,3,March,57,10682.89,340.72,23.15,11046.76,629665.23
Jungle Fennec,Hatchback,Base,Steel Grey,2026,4,April,40,10735.41,339.48,27.97,11102.86,444114.31
Jungle Fennec,Hatchback,Base,Steel Grey,2026,5,May,53,10756.82,340.88,5.28,11102.99,588458.51
Jungle Fennec,Hatchback,Base,Steel Grey,2026,6,June,29,10760.62,342.43,14.27,11117.32,322402.42
Jungle Fennec,Hatchback,Base,Steel Grey,2026,7,July,37,10841.7,343.05,23.76,11208.51,414715.05
Jungle Fennec,Hatchback,Comfort,Arctic White,2024,8,August,31,10497.43,340.53,6.72,10844.69,336185.25
Jungle Fennec,Hatchback,Comfort,Arctic White,2024,9,September,24,10524.34,341.23,50.21,10915.78,261978.66
Jungle Fennec,Hatchback,Comfort,Arctic White,2024,10,October,51,10540.15,342.73,14.09,10896.96,555745.12
Jungle Fennec,Hatchback,Comfort,Arctic White,2024,11,November,29,10599.05,346.6,0.0,10945.65,317423.92
Jungle Fennec,Hatchback,Comfort,Arctic White,2024,12,December,17,10652.97,345.04,17.42,11015.42,187262.22
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,1,January,23,10647.85,337.59,0.0,10985.44,252665.19
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,2,February,37,10712.41,346.86,14.7,11073.98,409737.17
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,3,March,28,10755.35,339.81,0.31,11095.47,310673.26
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,4,April,28,10787.1,338.81,3.2,11129.11,311615.1
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,5,May,24,10848.13,335.29,6.88,11190.3,268567.15
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,6,June,47,10855.22,339.08,8.52,11202.83,526532.95
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,7,July,34,10897.44,348.13,16.44,11262.0,382908.03
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,8,August,20,10952.8,344.41,58.67,11355.88,227117.52
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,9,September,37,10967.31,341.65,6.57,11315.53,418674.45
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,10,October,22,11001.06,340.53,38.13,11379.72,250353.83
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,11,November,43,11039.8,342.99,12.29,11395.07,489988.17
Jungle Fennec,Hatchback,Comfort,Arctic White,2025,12,December,21,11086.74,337.21,6.73,11430.68,240044.28
Jungle Fennec,Hatchback,Comfort,Arctic White,2026,1,January,31,11147.64,340.54,9.87,11498.06,356439.86
Jungle Fennec,Hatchback,Comfort,Arctic White,2026,2,February,8,11122.6,334.96,81.65,11539.21,92313.65
Jungle Fennec,Hatchback,Comfort,Arctic White,2026,3,March,18,11228.94,343.49,0.13,11572.55,208305.92
Jungle Fennec,Hatchback,Comfort,Arctic White,2026,4,April,26,11243.28,339.98,3.61,11586.86,301258.47
Jungle Fennec,Hatchback,Comfort,Arctic White,2026,5,May,28,11251.58,338.93,21.38,11611.89,325132.96
Jungle Fennec,Hatchback,Comfort,Arctic White,2026,6,June,17,11313.19,342.68,6.29,11662.16,198256.67
Jungle Fennec,Hatchback,Comfort,Arctic White,2026,7,July,12,11376.62,344.72,0.0,11721.34,140656.09
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2024,7,July,2,10397.31,329.04,0.0,10726.34,21452.68
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2024,8,August,24,10467.65,344.98,8.77,10821.4,259713.66
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2024,9,September,33,10482.97,338.75,19.05,10840.77,357745.46
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2024,10,October,47,10544.36,336.7,24.5,10905.56,512561.42
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2024,11,November,27,10581.79,342.79,17.85,10942.43,295445.58
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2024,12,December,25,10624.19,340.81,35.06,11000.06,275001.48
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,1,January,23,10686.22,341.84,12.63,11040.69,253935.8
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,2,February,27,10715.3,339.74,35.65,11090.69,299448.51
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,3,March,33,10733.42,339.19,3.59,11076.19,365514.27
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,4,April,28,10762.85,338.84,6.8,11108.5,311037.96
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,5,May,45,10808.98,342.79,17.14,11168.91,502600.95
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,6,June,29,10880.12,340.21,14.74,11235.07,325817.11
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,7,July,31,10913.49,345.05,8.21,11266.75,349269.31
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,8,August,37,10911.41,338.19,10.81,11260.41,416635.19
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,9,September,25,10960.18,340.57,4.81,11305.57,282639.13
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,10,October,16,11017.76,342.9,20.61,11381.27,182100.34
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,11,November,35,11030.61,342.0,38.25,11410.87,399380.42
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2025,12,December,32,11109.44,345.16,25.91,11480.51,367376.38
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2026,1,January,16,11116.19,337.42,6.63,11460.25,183364.0
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2026,2,February,19,11180.54,335.07,27.93,11543.55,219327.37
Jungle Fennec,Hatchback,Comfort,Copper Bronze,2026,3,March,30,11226.1,344.79,0.48,11571.38,347141.32
